,Company,Model,Price,Year,Kilometer,Transmission,Location,Color,Owner,Seller Type,Max Torque,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Base Model,Car Age,Age Segment,Price Segment,Engine CC,Max Power,Fuel_Diesel,Fuel_Hybrid,Fuel_LPG,Fuel_Petrol,Fuel_Petrol+CNG
465,Hyundai,i10 Sportz 1.2,270000,2010,86000,1,Chennai,Grey,2,Individual,111.0,FWD,3565.0,1595.0,1550.0,5.0,35.0,I10 Sportz,15,11–15 yrs,Low to Mid Range,1197,80.0,0,0,0,1,0
466,Maruti Suzuki,Alto 800 Lxi,210000,2014,42505,1,Purnea,Red,1,Individual,69.0,FWD,3395.0,1490.0,1475.0,5.0,35.0,Alto 800,11,11–15 yrs,Low to Mid Range,796,47.0,0,0,0,1,0
467,Hyundai,Elite i20 Asta 1.2,625000,2017,42000,1,Patna,Silver,1,Individual,115.0,FWD,3985.0,1734.0,1505.0,5.0,45.0,Elite I20,8,7–10 yrs,Low to Mid Range,1197,82.0,0,0,0,1,0
468,BMW,7-Series 730Ld M Sport,6900000,2017,42200,2,Mumbai,Black,1,Individual,620.0,RWD,5219.0,1902.0,1481.0,4.0,78.0,7-Series 730Ld,8,7–10 yrs,High Range,2993,262.0,1,0,0,0,0
469,Kia,Seltos GTX Plus AT 1.4 [2019-2020],1490000,2019,57600,2,Chennai,White,1,Individual,242.0,FWD,4315.0,1800.0,1645.0,5.0,50.0,Seltos Gtx,6,4–6 yrs,Low to Mid Range,1353,138.0,0,0,0,1,0
470,Mahindra,XUV500 W7 [2018-2020],1095000,2018,57000,1,Lucknow,Black,1,Individual,360.0,FWD,4585.0,1890.0,1785.0,7.0,70.0,Xuv500 W7,7,7–10 yrs,Low to Mid Range,2179,153.0,1,0,0,0,0
471,Ford,Endeavour 3.0L 4x4 AT,850000,2014,85000,2,Zirakpur,Black,1,Individual,380.0,AWD,5060.0,1788.0,1826.0,7.0,71.0,Endeavour 3.0L,11,11–15 yrs,Low to Mid Range,2953,154.0,1,0,0,0,0
472,Hyundai,Tucson 2WD AT GLS Diesel,1600000,2016,128000,2,Pune,White,2,Corporate,400.0,FWD,4475.0,1850.0,1660.0,5.0,62.0,Tucson 2Wd,9,7–10 yrs,Low to Mid Range,1995,182.0,1,0,0,0,0
473,Toyota,Etios V,265000,2011,66000,1,Delhi,Black,1,Individual,132.0,FWD,4265.0,1695.0,1510.0,5.0,45.0,Etios V,14,11–15 yrs,Low to Mid Range,1496,80.0,0,0,0,1,0
474,Volkswagen,Vento Comfortline Petrol,360000,2013,58000,1,Chandigarh,Bronze,1,Individual,153.0,FWD,4384.0,1699.0,1466.0,5.0,55.0,Vento Comfortline,12,11–15 yrs,Low to Mid Range,1598,103.0,0,0,0,1,0
475,Toyota,Fortuner 3.0 4x2 MT,1485000,2015,64120,1,Delhi,White,2,Individual,343.0,RWD,4705.0,1840.0,1850.0,7.0,80.0,Fortuner 3.0,10,7–10 yrs,Low to Mid Range,2982,169.0,1,0,0,0,0
476,Maruti Suzuki,Ciaz Alpha 1.4 MT,800000,2017,82300,1,Pune,White,1,Individual,130.0,FWD,4490.0,1730.0,1485.0,5.0,43.0,Ciaz Alpha,8,7–10 yrs,Low to Mid Range,1373,91.0,0,0,0,1,0
477,Maruti Suzuki,Vitara Brezza VDi,710000,2017,73000,1,Lucknow,White,1,Individual,200.0,FWD,3995.0,1790.0,1640.0,5.0,48.0,Vitara Brezza,8,7–10 yrs,Low to Mid Range,1248,89.0,1,0,0,0,0
478,Maruti Suzuki,S-Cross Alpha 1.6,710000,2018,72000,1,Lucknow,Blue,1,Individual,320.0,FWD,4300.0,1765.0,1590.0,5.0,48.0,S-Cross Alpha,7,7–10 yrs,Low to Mid Range,1598,118.0,1,0,0,0,0
479,Volkswagen,Polo Highline1.0L (P),720000,2018,50197,1,Pune,Grey,1,Individual,95.0,FWD,3971.0,1682.0,1469.0,5.0,45.0,Polo Highline1.0L,7,7–10 yrs,Low to Mid Range,999,75.0,0,0,0,1,0
480,Honda,Amaze 1.2 S i-VTEC,395000,2014,44527,1,Mumbai,Brown,1,Individual,109.0,FWD,3990.0,1680.0,1505.0,5.0,35.0,Amaze 1.2,11,11–15 yrs,Low to Mid Range,1198,87.0,0,0,0,1,0
481,Audi,A4 35 TDI Technology,2799000,2017,72400,2,Bangalore,White,1,Individual,400.0,FWD,4726.0,1842.0,1427.0,5.0,54.0,A4 35,8,7–10 yrs,Low to Mid Range,1968,188.0,1,0,0,0,0
482,Ford,Ecosport Trend 1.5 Ti-VCT,455000,2014,50000,1,Delhi,White,2,Individual,140.0,FWD,3999.0,1765.0,1708.0,5.0,52.0,Ecosport Trend,11,11–15 yrs,Low to Mid Range,1499,109.0,0,0,0,1,0
483,Honda,City VX (O) MT,690000,2014,37000,1,Delhi,White,1,Individual,145.0,FWD,4440.0,1695.0,1495.0,5.0,40.0,City Vx,11,11–15 yrs,Low to Mid Range,1497,117.0,0,0,0,1,0
484,Mercedes-Benz,GLS 400d 4MATIC,13000000,2021,20000,2,Delhi,Blue,1,Individual,700.0,AWD,5207.0,2157.0,1823.0,7.0,90.0,Gls 400D,4,4–6 yrs,Luxury,2925,326.0,1,0,0,0,0
485,Tata,Harrier XZA Plus Dark Edition,1995000,2020,8000,2,Bhubaneswar,Black,1,Individual,350.0,FWD,4598.0,1894.0,1706.0,5.0,50.0,Harrier Xza,5,4–6 yrs,Low to Mid Range,1956,168.0,1,0,0,0,0
486,BMW,5-Series 520d Luxury Line,1750000,2014,69000,2,Jalandhar,White,2,Individual,400.0,RWD,4899.0,2094.0,1464.0,5.0,65.0,5-Series 520D,11,11–15 yrs,Low to Mid Range,1995,190.0,1,0,0,0,0
487,BMW,X1 sDrive20d xLine,2900000,2019,25000,2,Delhi,White,1,Individual,350.0,RWD,4454.0,2044.0,1545.0,5.0,63.0,X1 Sdrive20D,6,4–6 yrs,Low to Mid Range,1995,184.0,1,0,0,0,0
488,BMW,X1 sDrive20d xLine,4500000,2022,17000,2,Mumbai,White,1,Individual,350.0,RWD,4454.0,2044.0,1545.0,5.0,63.0,X1 Sdrive20D,3,0–3 yrs,Low to Mid Range,1995,184.0,1,0,0,0,0
489,Honda,City 1.5 S MT,450000,2013,61000,1,Delhi,Maroon,1,Individual,146.0,FWD,4440.0,1695.0,1485.0,5.0,42.0,City 1.5,12,11–15 yrs,Low to Mid Range,1497,116.0,0,0,0,1,0
490,BMW,5-Series 520d Luxury Line [2017-2019],2149000,2015,69000,2,Delhi,Silver,1,Individual,400.0,RWD,4936.0,1868.0,1479.0,5.0,65.0,5-Series 520D,10,7–10 yrs,Low to Mid Range,1995,188.0,1,0,0,0,0
491,Mercedes-Benz,GL-Class 350 CDI,4200000,2015,77000,2,Chennai,Black,2,Individual,619.0,AWD,5120.0,1934.0,1850.0,7.0,100.0,Gl-Class 350,10,7–10 yrs,Low to Mid Range,2987,258.0,1,0,0,0,0
492,Tata,Nexon XT Diesel [2017-2019],860000,2018,82200,1,Pune,Grey,1,Individual,260.0,FWD,3994.0,1811.0,1607.0,5.0,44.0,Nexon Xt,7,7–10 yrs,Low to Mid Range,1497,108.0,1,0,0,0,0
493,Honda,City V,875000,2018,28000,1,Delhi,Silver,1,Individual,145.0,FWD,4440.0,1695.0,1495.0,5.0,40.0,City V,7,7–10 yrs,Low to Mid Range,1497,117.0,0,0,0,1,0
494,Mahindra,Scorpio VLX 4WD BS-III,580000,2011,117000,1,Salem,White,2,Individual,290.0,AWD,4430.0,1817.0,1975.0,7.0,60.0,Scorpio Vlx,14,11–15 yrs,Low to Mid Range,2179,122.0,1,0,0,0,0
495,MG,Gloster Savvy 6 STR 2.0 Twin Turbo 4WD,3500000,2021,7900,2,Hyderabad,Black,1,Individual,480.0,AWD,4985.0,1926.0,1867.0,6.0,75.0,Gloster Savvy,4,4–6 yrs,Low to Mid Range,1996,215.0,1,0,0,0,0
496,Maruti Suzuki,Swift DZire VXi,229999,2010,72000,1,Kanpur,Silver,1,Individual,113.0,FWD,4160.0,1690.0,1530.0,5.0,43.0,Swift Dzire,15,11–15 yrs,Low to Mid Range,1298,87.0,0,0,0,1,0
497,Audi,Q3 2.0 TDI quattro Premium Plus,1513000,2015,79000,2,Ahmedabad,Blue,2,Individual,380.0,AWD,4385.0,1831.0,1608.0,5.0,64.0,Q3 2.0,10,7–10 yrs,Low to Mid Range,1968,174.0,1,0,0,0,0
498,Maruti Suzuki,Alto VXi,234000,2013,72600,1,Panchkula,White,1,Individual,90.0,FWD,3620.0,1475.0,1460.0,5.0,35.0,Alto Vxi,12,11–15 yrs,Low to Mid Range,998,67.0,0,0,0,1,0
499,Datsun,Redigo S 1.0 AMT [2018-2019],320000,2018,42313,2,Bangalore,Grey,2,Individual,91.0,FWD,3429.0,1560.0,1541.0,5.0,28.0,Redigo S,7,7–10 yrs,Low to Mid Range,999,67.0,0,0,0,1,0
500,BMW,X3 xDrive 20d Luxury Line [2018-2020],5975000,2021,18000,2,Delhi,White,1,Individual,400.0,AWD,4657.0,1881.0,1678.0,5.0,67.0,X3 Xdrive,4,4–6 yrs,High Range,1995,190.0,1,0,0,0,0
501,Maruti Suzuki,Vitara Brezza ZDi Plus,1025000,2019,90000,1,Hyderabad,White,1,Individual,200.0,FWD,3995.0,1790.0,1640.0,5.0,48.0,Vitara Brezza,6,4–6 yrs,Low to Mid Range,1248,89.0,1,0,0,0,0
502,Maruti Suzuki,DZire VDi,630000,2017,36000,1,Patna,Blue,1,Individual,190.0,FWD,3995.0,1735.0,1515.0,5.0,37.0,Dzire Vdi,8,7–10 yrs,Low to Mid Range,1248,74.0,1,0,0,0,0
503,Hyundai,Venue SX Plus 1.0 Turbo DCT,1090000,2020,26200,2,Delhi,White,1,Individual,172.0,FWD,3995.0,1770.0,1605.0,5.0,45.0,Venue Sx,5,4–6 yrs,Low to Mid Range,998,118.0,0,0,0,1,0
504,Maruti Suzuki,Swift LXi Special Edition,700000,2019,11000,1,Chennai,Silver,2,Individual,113.0,FWD,3840.0,1735.0,1530.0,5.0,37.0,Swift Lxi,6,4–6 yrs,Low to Mid Range,1197,82.0,0,0,0,1,0
505,Maruti Suzuki,Swift VXi,661000,2021,14366,1,Ahmedabad,Others,1,Individual,113.0,FWD,3845.0,1735.0,1530.0,5.0,37.0,Swift Vxi,4,4–6 yrs,Low to Mid Range,1197,89.0,0,0,0,1,0
506,Mahindra,TUV300 T8,565000,2017,65000,1,Delhi,Red,2,Individual,230.0,RWD,3995.0,1835.0,1839.0,7.0,60.0,Tuv300 T8,8,7–10 yrs,Low to Mid Range,1493,84.0,1,0,0,0,0
507,Toyota,Innova 2.5 G 7 STR BS-IV,750000,2014,126000,1,Delhi,Silver,1,Individual,200.0,RWD,4585.0,1760.0,1760.0,7.0,55.0,Innova 2.5,11,11–15 yrs,Low to Mid Range,2494,100.0,1,0,0,0,0
508,Audi,Q3 35 TDI Premium + Sunroof,1850000,2015,71700,2,Navi Mumbai,White,2,Individual,380.0,AWD,4385.0,1831.0,1608.0,5.0,64.0,Q3 35,10,7–10 yrs,Low to Mid Range,1968,174.0,1,0,0,0,0
509,Mahindra,XUV500 W6,850000,2016,114000,1,Lucknow,White,1,Individual,330.0,FWD,4585.0,1890.0,1785.0,7.0,70.0,Xuv500 W6,9,7–10 yrs,Low to Mid Range,2179,138.0,1,0,0,0,0
510,Hyundai,Elite i20 Asta 1.4 CRDI [2016-2017],535000,2016,58339,1,Panchkula,Grey,1,Individual,220.0,FWD,3985.0,1734.0,1505.0,5.0,45.0,Elite I20,9,7–10 yrs,Low to Mid Range,1396,89.0,1,0,0,0,0
511,Maruti Suzuki,DZire VDi AMT,770000,2019,72040,2,Pune,Silver,1,Individual,190.0,FWD,3995.0,1735.0,1515.0,5.0,37.0,Dzire Vdi,6,4–6 yrs,Low to Mid Range,1248,74.0,1,0,0,0,0
512,BMW,3-Series 330i M Sport Edition,3650000,2019,6000,2,Delhi,White,1,Individual,350.0,RWD,4633.0,1811.0,1429.0,5.0,57.0,3-Series 330I,6,4–6 yrs,Low to Mid Range,1998,248.0,0,0,0,1,0
513,Kia,Sonet GTX Plus 1.0 iMT [2020-2021],1195000,2022,6200,1,Kolkata,Red,1,Individual,172.0,FWD,3995.0,1790.0,1647.0,5.0,45.0,Sonet Gtx,3,0–3 yrs,Low to Mid Range,998,118.0,0,0,0,1,0
514,Mercedes-Benz,S-Class 500L,1650000,2012,44000,2,Mumbai,Silver,3,Individual,505.0,RWD,5226.0,2120.0,1479.0,5.0,90.0,S-Class 500L,13,11–15 yrs,Low to Mid Range,5461,368.0,0,0,0,1,0
515,Skoda,Superb L&K TSI AT,3199000,2021,6900,2,Kolkata,Brown,1,Individual,250.0,FWD,4861.0,1864.0,1483.0,5.0,66.0,Superb L&K,4,4–6 yrs,Low to Mid Range,1798,177.0,0,0,0,1,0
516,Mercedes-Benz,E-Class E 200 Exclusive [2019-2019],7100000,2022,2500,2,Noida,Grey,1,Individual,300.0,RWD,5063.0,1860.0,1494.0,5.0,80.0,E-Class E,3,0–3 yrs,High Range,1991,194.0,0,0,0,1,0
517,Volkswagen,Polo GT TSI,625000,2016,68000,2,Delhi,White,1,Individual,175.0,FWD,3971.0,1682.0,1469.0,5.0,45.0,Polo Gt,9,7–10 yrs,Low to Mid Range,1197,103.0,0,0,0,1,0
518,Maruti Suzuki,Vitara Brezza VDi,745000,2018,36000,1,Patna,White,1,Individual,200.0,FWD,3995.0,1790.0,1640.0,5.0,48.0,Vitara Brezza,7,7–10 yrs,Low to Mid Range,1248,89.0,1,0,0,0,0
519,Hyundai,Santro Sportz,551000,2021,19000,1,Ahmedabad,White,1,Individual,99.0,FWD,3610.0,1645.0,1560.0,5.0,35.0,Santro Sportz,4,4–6 yrs,Low to Mid Range,1086,68.0,0,0,0,1,0
520,Mercedes-Benz,E-Class E 220 d Avantgarde,5950000,2019,10000,2,Chennai,White,1,Individual,400.0,RWD,5063.0,1860.0,1494.0,5.0,80.0,E-Class E,6,4–6 yrs,High Range,1950,192.0,1,0,0,0,0
521,Land Rover,Range Rover 3.0 V6 Diesel Vogue,22000000,2019,35000,2,Pune,Blue,1,Individual,600.0,AWD,4999.0,2220.0,1835.0,5.0,105.0,Range Rover,6,4–6 yrs,Luxury,2993,244.0,1,0,0,0,0
522,MINI,Cooper D 3 Door,3300000,2019,6400,2,Delhi,Red,1,Individual,270.0,FWD,3821.0,1727.0,1414.0,5.0,44.0,Cooper D,6,4–6 yrs,Low to Mid Range,1496,114.0,1,0,0,0,0
523,Ford,Endeavour Titanium Plus 3.2 4x4 AT,3250000,2019,34000,2,Chennai,White,1,Individual,470.0,AWD,4903.0,1869.0,1837.0,7.0,80.0,Endeavour Titanium,6,4–6 yrs,Low to Mid Range,3198,197.0,1,0,0,0,0
524,Renault,Duster 110 PS RXZ 4X2 AMT Diesel,690000,2016,35000,2,Delhi,Grey,2,Individual,248.0,FWD,4315.0,1822.0,1695.0,5.0,50.0,Duster 110,9,7–10 yrs,Low to Mid Range,1461,108.0,1,0,0,0,0
525,Maruti Suzuki,Vitara Brezza VDi AGS,894999,2019,46000,2,Mumbai,White,1,Individual,200.0,FWD,3995.0,1790.0,1640.0,5.0,48.0,Vitara Brezza,6,4–6 yrs,Low to Mid Range,1248,89.0,1,0,0,0,0
526,Skoda,Rapid Ambition 1.6 TDI CR MT,550000,2016,83000,1,Chandigarh,White,1,Individual,250.0,FWD,4386.0,1699.0,1466.0,5.0,55.0,Rapid Ambition,9,7–10 yrs,Low to Mid Range,1598,105.0,1,0,0,0,0
527,Ford,Ecosport Trend 1.5 TDCi,399000,2013,54000,1,Mumbai,Orange,3,Individual,204.0,FWD,3999.0,1765.0,1708.0,5.0,52.0,Ecosport Trend,12,11–15 yrs,Low to Mid Range,1498,89.0,1,0,0,0,0
528,Kia,Seltos HTX 1.5 [2020-2021],1275000,2020,42000,1,Ahmedabad,Black,1,Individual,144.0,FWD,4315.0,1800.0,1645.0,5.0,50.0,Seltos Htx,5,4–6 yrs,Low to Mid Range,1497,113.0,0,0,0,1,0
529,Maruti Suzuki,Eeco 5 STR WITH A/C+HTR [2019-2020],535000,2020,41441,1,Bangalore,Silver,1,Individual,101.0,RWD,3675.0,1475.0,1800.0,5.0,40.0,Eeco 5,5,4–6 yrs,Low to Mid Range,1196,73.0,0,0,0,1,0
530,Maruti Suzuki,Vitara Brezza VDi,825000,2018,48174,1,Thane,White,1,Individual,200.0,FWD,3995.0,1790.0,1640.0,5.0,48.0,Vitara Brezza,7,7–10 yrs,Low to Mid Range,1248,89.0,1,0,0,0,0
531,Ford,Ecosport Ambiente 1.5L TDCi,585000,2016,62591,1,Mumbai,Silver,1,Individual,205.0,FWD,3998.0,1765.0,1647.0,5.0,52.0,Ecosport Ambiente,9,7–10 yrs,Low to Mid Range,1498,99.0,1,0,0,0,0
532,Honda,Jazz V AT Petrol,675000,2017,48650,2,Mumbai,Brown,1,Individual,110.0,FWD,3955.0,1694.0,1544.0,5.0,40.0,Jazz V,8,7–10 yrs,Low to Mid Range,1199,89.0,0,0,0,1,0
533,Maruti Suzuki,S-Cross Alpha 1.3,795000,2017,52245,1,Pune,Brown,1,Individual,200.0,FWD,4300.0,1785.0,1595.0,5.0,48.0,S-Cross Alpha,8,7–10 yrs,Low to Mid Range,1248,89.0,1,0,0,0,0
534,Mercedes-Benz,E-Class E 200 Exclusive [2019-2019],6500000,2021,7500,2,Delhi,Black,1,Individual,300.0,RWD,5063.0,1860.0,1494.0,5.0,80.0,E-Class E,4,4–6 yrs,High Range,1991,194.0,0,0,0,1,0
535,Hyundai,Elite i20 Sportz 1.4 CRDI,611000,2017,65000,1,Kheda,White,1,Individual,220.0,FWD,3985.0,1734.0,1505.0,5.0,45.0,Elite I20,8,7–10 yrs,Low to Mid Range,1396,89.0,1,0,0,0,0
536,Maruti Suzuki,Wagon R VXI,390000,2015,43297,1,Kollam,Red,1,Individual,90.0,FWD,3599.0,1495.0,1700.0,5.0,35.0,Wagon R,10,7–10 yrs,Low to Mid Range,998,67.0,0,0,0,1,0
537,Maruti Suzuki,Swift VXi [2014-2017],650000,2019,44710,1,Pune,White,1,Individual,115.0,FWD,3850.0,1695.0,1530.0,5.0,42.0,Swift Vxi,6,4–6 yrs,Low to Mid Range,1197,83.0,0,0,0,1,0
538,Renault,Fluence 1.5 E4,390000,2013,62000,1,Lucknow,Silver,1,Individual,240.0,FWD,4618.0,1813.0,1488.0,5.0,67.0,Fluence 1.5,12,11–15 yrs,Low to Mid Range,1461,108.0,1,0,0,0,0
539,Audi,A4 35 TDI Technology,2400000,2017,59267,2,Kolkata,Silver,1,Individual,400.0,FWD,4726.0,1842.0,1427.0,5.0,54.0,A4 35,8,7–10 yrs,Low to Mid Range,1968,188.0,1,0,0,0,0
540,Maruti Suzuki,Swift VXi,385000,2011,69000,1,Hyderabad,Silver,1,Individual,114.0,FWD,3850.0,1695.0,1530.0,5.0,42.0,Swift Vxi,14,11–15 yrs,Low to Mid Range,1197,85.0,0,0,0,1,0
541,Maruti Suzuki,Swift DZire VXI,450000,2017,75000,1,Kanpur,White,1,Commercial Registration,115.0,FWD,3995.0,1695.0,1555.0,5.0,42.0,Swift Dzire,8,7–10 yrs,Low to Mid Range,1197,83.0,0,0,0,1,0
542,Hyundai,Grand i10 Sports Edition 1.2L Kappa VTVT,649000,2020,52236,1,Udupi,Silver,1,Individual,114.0,FWD,3765.0,1660.0,1520.0,5.0,43.0,Grand I10,5,4–6 yrs,Low to Mid Range,1197,81.0,0,0,0,1,0
543,Audi,A3 35 TDI Premium + Sunroof,2900000,2019,15530,2,Goa,White,1,Individual,320.0,FWD,4456.0,1796.0,1416.0,5.0,50.0,A3 35,6,4–6 yrs,Low to Mid Range,1968,141.0,1,0,0,0,0
544,Maruti Suzuki,Swift DZire VDI,400000,2014,64000,1,Agra,White,1,Individual,190.0,FWD,3995.0,1695.0,1555.0,5.0,42.0,Swift Dzire,11,11–15 yrs,Low to Mid Range,1248,74.0,1,0,0,0,0
545,Hyundai,Grand i10 NIOS Sportz AMT 1.2 Kappa VTVT,599000,2020,35000,2,Kolkata,Silver,1,Individual,114.0,FWD,3805.0,1680.0,1520.0,5.0,37.0,Grand I10,5,4–6 yrs,Low to Mid Range,1197,82.0,0,0,0,1,0
546,Toyota,Fortuner 2.8 4x2 MT [2016-2020],2980000,2019,92000,1,Lucknow,Black,1,Individual,420.0,RWD,4795.0,1855.0,1835.0,7.0,80.0,Fortuner 2.8,6,4–6 yrs,Low to Mid Range,2755,174.0,1,0,0,0,0
547,Audi,A4 30 TFSI Technology Pack,3500000,2018,18000,2,Mumbai,White,1,Individual,250.0,FWD,4726.0,1842.0,1427.0,5.0,54.0,A4 30,7,7–10 yrs,Low to Mid Range,1395,148.0,0,0,0,1,0
548,Honda,Jazz V Petrol,400000,2016,50000,1,Kolkata,Red,1,Individual,110.0,FWD,3955.0,1694.0,1544.0,5.0,40.0,Jazz V,9,7–10 yrs,Low to Mid Range,1199,89.0,0,0,0,1,0
549,Mercedes-Benz,GLC 200 Progressive,6975000,2022,2000,2,Karnal,White,1,Individual,320.0,RWD,4658.0,1890.0,1644.0,5.0,66.0,Glc 200,3,0–3 yrs,High Range,1991,194.0,0,0,0,1,0
550,Mercedes-Benz,GLE 250 d,5400000,2016,16000,2,Karnal,White,1,Individual,500.0,AWD,4819.0,2141.0,1796.0,5.0,93.0,Gle 250,9,7–10 yrs,High Range,2143,201.0,1,0,0,0,0
551,Mercedes-Benz,GL-Class 350 CDI,3700000,2015,103890,2,Lucknow,Black,2,Individual,619.0,AWD,5120.0,1934.0,1850.0,7.0,100.0,Gl-Class 350,10,7–10 yrs,Low to Mid Range,2987,258.0,1,0,0,0,0
552,Maruti Suzuki,Celerio ZXi [2017-2019],445000,2018,71000,1,Ludhiana,White,1,Individual,90.0,FWD,3600.0,1600.0,1560.0,5.0,35.0,Celerio Zxi,7,7–10 yrs,Low to Mid Range,998,67.0,0,0,0,1,0
553,Mahindra,Thar LX 4-STR Hard Top Diesel MT,1475000,2021,12000,1,Ludhiana,Red,1,Individual,300.0,AWD,3985.0,1820.0,1844.0,4.0,57.0,Thar Lx,4,4–6 yrs,Low to Mid Range,2184,130.0,1,0,0,0,0
554,Toyota,Fortuner 2.8 4x2 AT [2016-2020],2800000,2016,93000,2,Mohali,White,1,Individual,450.0,RWD,4795.0,1855.0,1835.0,7.0,80.0,Fortuner 2.8,9,7–10 yrs,Low to Mid Range,2755,174.0,1,0,0,0,0
555,Maruti Suzuki,Swift VXi [2014-2017],600000,2020,10000,1,Meerut,White,1,Individual,115.0,FWD,3850.0,1695.0,1530.0,5.0,42.0,Swift Vxi,5,4–6 yrs,Low to Mid Range,1197,83.0,0,0,0,1,0
556,Kia,Seltos GTX Plus AT 1.5 Diesel [2019-2020],1835000,2020,33828,2,Mumbai,White,1,Individual,250.0,FWD,4315.0,1800.0,1645.0,5.0,50.0,Seltos Gtx,5,4–6 yrs,Low to Mid Range,1493,114.0,1,0,0,0,0
557,Maruti Suzuki,Wagon R LXi 1.0 CNG [2019-2020],550000,2019,48000,1,Mumbai,Silver,1,Individual,78.0,FWD,3655.0,1620.0,1675.0,5.0,60.0,Wagon R,6,4–6 yrs,Low to Mid Range,998,58.0,0,0,0,0,0
558,Maruti Suzuki,Vitara Brezza ZDi+ Dual Tone [2017-2018],715000,2017,71000,1,Delhi,Red,1,Individual,200.0,FWD,3995.0,1790.0,1640.0,5.0,48.0,Vitara Brezza,8,7–10 yrs,Low to Mid Range,1248,89.0,1,0,0,0,0
559,Mahindra,XUV700 AX 7 Diesel AT 7 STR,2540000,2022,18000,2,Delhi,White,1,Individual,450.0,FWD,4695.0,1890.0,1755.0,7.0,60.0,Xuv700 Ax,3,0–3 yrs,Low to Mid Range,2184,182.0,1,0,0,0,0
560,Maruti Suzuki,Wagon R LXi (O) 1.0 CNG [2019-2020],525000,2019,50000,1,Delhi,Grey,1,Individual,78.0,FWD,3655.0,1620.0,1675.0,5.0,60.0,Wagon R,6,4–6 yrs,Low to Mid Range,998,58.0,0,0,0,0,0
561,Hyundai,Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],425000,2015,48000,1,Delhi,Silver,1,Individual,114.0,FWD,3765.0,1660.0,1520.0,5.0,43.0,Grand I10,10,7–10 yrs,Low to Mid Range,1197,81.0,0,0,0,1,0
562,Hyundai,Elite i20 Sportz 1.2 IVT,795000,2022,4000,2,Kanpur,White,1,Individual,115.0,FWD,3995.0,1775.0,1505.0,5.0,37.0,Elite I20,3,0–3 yrs,Low to Mid Range,1197,87.0,0,0,0,1,0
563,Honda,City 1.5 V MT,269000,2010,73000,1,Delhi,Silver,2,Individual,146.0,FWD,4420.0,1695.0,1480.0,5.0,42.0,City 1.5,15,11–15 yrs,Low to Mid Range,1497,118.0,0,0,0,1,0
564,Hyundai,Verna Fluidic 1.6 CRDi,565000,2014,68000,1,Lucknow,White,1,Individual,260.0,FWD,4370.0,1700.0,1475.0,5.0,43.0,Verna Fluidic,11,11–15 yrs,Low to Mid Range,1582,128.0,1,0,0,0,0
565,BMW,5-Series 520d Luxury Line,2550000,2015,70000,2,Coimbatore,Blue,2,Individual,400.0,RWD,4899.0,2094.0,1464.0,5.0,65.0,5-Series 520D,10,7–10 yrs,Low to Mid Range,1995,190.0,1,0,0,0,0
566,Hyundai,i20 Active 1.2 S,529000,2015,57654,1,Zirakpur,White,1,Individual,115.0,FWD,3995.0,1760.0,1555.0,5.0,45.0,I20 Active,10,7–10 yrs,Low to Mid Range,1197,82.0,0,0,0,1,0
567,Maruti Suzuki,Alto VXi (O),400000,2019,22000,1,Ludhiana,White,1,Individual,90.0,FWD,3545.0,1490.0,1475.0,5.0,35.0,Alto Vxi,6,4–6 yrs,Low to Mid Range,998,67.0,0,0,0,1,0
568,Maruti Suzuki,XL6 Zeta MT Petrol,975000,2019,41792,1,Pune,Blue,1,Individual,138.0,FWD,4445.0,1775.0,1700.0,6.0,45.0,Xl6 Zeta,6,4–6 yrs,Low to Mid Range,1462,103.0,0,0,0,1,0
569,BMW,X1 sDrive20d Expedition,2600000,2017,41000,2,Hyderabad,Blue,1,Individual,400.0,FWD,4439.0,1821.0,1612.0,5.0,51.0,X1 Sdrive20D,8,7–10 yrs,Low to Mid Range,1995,188.0,1,0,0,0,0
570,Mercedes-Benz,GL-Class 350 CDI,2390000,2013,107021,2,Delhi,White,2,Individual,619.0,AWD,5120.0,1934.0,1850.0,7.0,100.0,Gl-Class 350,12,11–15 yrs,Low to Mid Range,2987,258.0,1,0,0,0,0
571,Kia,Seltos GTX Plus 1.4 [2020-2021],1550000,2019,17000,1,Bangalore,White,1,Individual,242.0,FWD,4315.0,1800.0,1645.0,5.0,50.0,Seltos Gtx,6,4–6 yrs,Low to Mid Range,1353,138.0,0,0,0,1,0
572,Maruti Suzuki,Alto VXi AMT,430000,2019,57993,2,Hyderabad,White,1,Individual,90.0,FWD,3545.0,1490.0,1475.0,5.0,35.0,Alto Vxi,6,4–6 yrs,Low to Mid Range,998,67.0,0,0,0,1,0
573,Maruti Suzuki,Baleno Delta 1.2,600000,2018,32000,1,Mohali,Silver,1,Individual,115.0,FWD,3995.0,1745.0,1500.0,5.0,37.0,Baleno Delta,7,7–10 yrs,Low to Mid Range,1197,83.0,0,0,0,1,0
574,Toyota,Corolla Altis VL AT Petrol,1650000,2018,25914,2,Pune,Brown,1,Corporate,173.0,FWD,4620.0,1775.0,1475.0,5.0,55.0,Corolla Altis,7,7–10 yrs,Low to Mid Range,1798,138.0,0,0,0,1,0
